ts,time,wall_time,mp_count.O+,real_count.O+,px.O+,py.O+,pz.O+,KE.O+,mp_count.e-,real_count.e-,px.e-,py.e-,pz.e-,KE.e-,PE,total_E
107,2.16e-07,5.08698,68921,8e+08,-1.36558e-18,-1.36558e-18,-1.36558e-18,2.75404e-14,9261,1e+08,3.29411e-17,3.29411e-17,3.29411e-17,1.9164e-11,5.78919e-11,7.70834e-11
108,2.18e-07,5.11754,68921,8e+08,-1.21057e-18,-1.21057e-18,-1.21057e-18,2.80144e-14,9261,1e+08,3.28854e-17,3.28854e-17,3.28854e-17,1.90811e-11,5.79801e-11,7.70892e-11
109,2.2e-07,5.14755,68921,8e+08,-9.32101e-19,-9.32101e-19,-9.32101e-19,2.84927e-14,9261,1e+08,3.28216e-17,3.28216e-17,3.28216e-17,1.89919e-11,5.80742e-11,7.70945e-11
110,2.22e-07,5.17919,68921,8e+08,-1.39265e-18,-1.39265e-18,-1.39265e-18,2.89749e-14,9261,1e+08,3.27499e-17,3.27499e-17,3.27499e-17,1.88966e-11,5.81739e-11,7.70994e-11
111,2.24e-07,5.31196,68921,8e+08,-1.99711e-18,-1.99711e-18,-1.99711e-18,2.94611e-14,9261,1e+08,3.26703e-17,3.26703e-17,3.26703e-17,1.87954e-11,5.82789e-11,7.71037e-11
112,2.26e-07,5.34594,68921,8e+08,-2.19111e-18,-2.19111e-18,-2.19111e-18,2.99505e-14,9261,1e+08,3.2583e-17,3.2583e-17,3.2583e-17,1.86887e-11,5.83887e-11,7.71074e-11
113,2.28e-07,5.38112,68921,8e+08,-2.3152e-18,-2.3152e-18,-2.3152e-18,3.04439e-14,9261,1e+08,3.24881e-17,3.24881e-17,3.24881e-17,1.85766e-11,5.85037e-11,7.71108e-11
114,2.3e-07,5.41424,68921,8e+08,-2.67447e-18,-2.67447e-18,-2.67447e-18,3.09423e-14,9261,1e+08,3.23857e-17,3.23857e-17,3.23857e-17,1.84595e-11,5.8624e-11,7.71145e-11
115,2.32e-07,5.44751,68921,8e+08,-2.84967e-18,-2.84967e-18,-2.84967e-18,3.14446e-14,9261,1e+08,3.22759e-17,3.22759e-17,3.22759e-17,1.83376e-11,5.87483e-11,7.71173e-11
116,2.34e-07,5.48186,68921,8e+08,-2.35265e-18,-2.35265e-18,-2.35265e-18,3.1951e-14,9261,1e+08,3.21589e-17,3.21589e-17,3.21589e-17,1.82111e-11,5.88758e-11,7.71188e-11
117,2.36e-07,5.51564,68921,8e+08,-2.51365e-18,-2.51365e-18,-2.51365e-18,3.24607e-14,9261,1e+08,3.20348e-17,3.20348e-17,3.20348e-17,1.80802e-11,5.9007e-11,7.71197e-11
118,2.38e-07,5.54839,68921,8e+08,-2.78088e-18,-2.78088e-18,-2.78088e-18,3.29753e-14,9261,1e+08,3.19037e-17,3.19037e-17,3.19037e-17,1.79453e-11,5.9141e-11,7.71193e-11
